channel,date,duration_female,duration_male,duration_noise,duration_music,total_duration,pct_female,pct_male,media_type
TF1,1996-09-15,359.0,855.2,83.6,25.8,1214.2,29.57,70.43,tv
TF1,1996-09-22,3006.7,6384.0,682.2,370.0,9390.7,32.02,67.98,tv
TF1,1996-09-29,3452.8,8294.2,433.7,200.8,11747.0,29.39,70.61,tv
TF1,1996-10-06,4708.7,9563.1,638.8,355.1,14271.8,32.99,67.01,tv
TF1,1996-10-13,3716.2,7665.4,460.4,537.6,11381.6,32.65,67.35,tv
TF1,1996-10-20,3375.1,7661.6,720.4,155.9,11036.8,30.58,69.42,tv
TF1,1996-10-27,4432.0,8652.5,658.3,563.4,13084.5,33.87,66.13,tv
TF1,1996-11-03,2020.4,4133.8,127.1,284.4,6154.2,32.83,67.17,tv
TF1,1996-11-10,647.2,1485.2,83.5,102.4,2132.4,30.35,69.65,tv
TF1,1996-11-17,2957.9,6471.9,442.3,204.9,9429.8,31.37,68.63,tv
TF1,1996-11-24,1740.5,3596.4,322.1,214.0,5337.0,32.61,67.39,tv
TF1,1996-12-01,696.6,1434.7,105.9,26.2,2131.3,32.69,67.31,tv
TF1,1996-12-08,2719.9,5598.8,386.7,378.6,8318.6,32.7,67.3,tv
TF1,1996-12-15,822.5,2007.8,185.9,98.3,2830.4,29.06,70.94,tv
TF1,1996-12-22,686.8,1578.3,56.7,86.2,2265.2,30.32,69.68,tv
TF1,1996-12-29,612.5,1432.8,162.0,51.1,2045.3,29.95,70.05,tv
TF1,1997-01-05,1879.1,4024.5,406.0,282.7,5903.7,31.83,68.17,tv
TF1,1997-01-12,3355.2,8036.2,609.5,307.2,11391.5,29.45,70.55,tv
TF1,1997-01-19,4034.8,9100.9,350.4,390.2,13135.8,30.72,69.28,tv
TF1,1997-01-26,518.0,1142.1,45.0,24.4,1660.1,31.2,68.8,tv
TF1,1997-02-02,2950.4,6714.0,625.9,322.2,9664.3,30.53,69.47,tv
TF1,1997-02-09,1473.7,3283.4,343.1,90.1,4757.1,30.98,69.02,tv
TF1,1997-02-16,4484.5,9419.0,288.2,678.4,13903.5,32.25,67.75,tv
TF1,1997-02-23,603.2,1293.1,100.9,92.5,1896.3,31.81,68.19,tv
TF1,1997-03-02,2490.6,5471.2,459.9,301.2,7961.8,31.28,68.72,tv
TF1,1997-03-09,3219.4,5568.8,650.9,103.9,8788.2,36.63,63.37,tv
TF1,1997-03-16,1376.5,3316.5,361.5,214.1,4693.0,29.33,70.67,tv
TF1,1997-03-23,1705.7,2938.9,145.3,132.6,4644.6,36.72,63.28,tv
TF1,1997-03-30,1657.4,4012.9,312.0,74.3,5670.3,29.23,70.77,tv
TF1,1997-04-06,1630.5,3448.2,349.5,189.9,5078.6,32.1,67.9,tv
TF1,1997-04-13,1112.5,1982.9,231.1,132.8,3095.3,35.94,64.06,tv
TF1,1997-04-20,3770.9,9720.9,970.9,159.3,13491.8,27.95,72.05,tv
TF1,1997-04-27,450.0,806.0,53.5,53.3,1256.0,35.83,64.17,tv
TF1,1997-05-04,3773.7,10220.1,986.9,609.2,13993.8,26.97,73.03,tv
TF1,1997-05-11,2503.2,4724.2,324.4,151.3,7227.4,34.63,65.37,tv
TF1,1997-05-18,3526.9,7754.4,865.1,496.2,11281.3,31.26,68.74,tv
TF1,1997-05-25,1329.7,2909.5,199.4,64.3,4239.2,31.37,68.63,tv
TF1,1997-06-01,1257.8,2728.9,240.4,138.4,3986.7,31.55,68.45,tv
TF1,1997-06-08,1866.0,3869.2,153.8,211.4,5735.2,32.54,67.46,tv
TF1,1997-06-15,2782.9,5139.3,563.5,254.1,7922.2,35.13,64.87,tv
TF1,1997-06-22,2672.2,5800.5,615.1,221.5,8472.7,31.54,68.46,tv
TF1,1997-06-29,3419.5,6985.6,341.1,160.8,10405.1,32.86,67.14,tv
TF1,1997-07-06,380.1,716.2,45.0,36.8,1096.4,34.67,65.33,tv
TF1,1997-07-13,3708.0,9398.2,536.0,400.5,13106.1,28.29,71.71,tv
TF1,1997-07-20,3002.1,8477.3,502.7,400.4,11479.3,26.15,73.85,tv
TF1,1997-07-27,1915.9,5182.4,559.4,210.9,7098.3,26.99,73.01,tv
TF1,1997-08-03,1660.8,3677.4,309.6,104.7,5338.1,31.11,68.89,tv
TF1,1997-08-10,1079.3,2276.1,136.7,153.9,3355.4,32.17,67.83,tv
TF1,1997-08-17,2109.3,5189.2,438.3,123.3,7298.5,28.9,71.1,tv
TF1,1997-08-24,984.4,2305.2,83.3,48.8,3289.6,29.92,70.08,tv
TF1,1997-08-31,2084.0,5036.5,230.6,175.0,7120.5,29.27,70.73,tv
TF1,1997-09-07,517.4,913.3,97.2,50.2,1430.7,36.16,63.84,tv
TF1,1997-09-14,627.9,1375.8,145.1,93.8,2003.7,31.34,68.66,tv
TF1,1997-09-21,3649.3,8134.4,764.7,204.8,11783.7,30.97,69.03,tv
TF1,1997-09-28,1143.9,2582.4,157.4,109.5,3726.2,30.7,69.3,tv
TF1,1997-10-05,1961.9,5182.3,463.3,81.9,7144.2,27.46,72.54,tv
TF1,1997-10-12,1493.4,2814.5,270.5,197.3,4307.9,34.67,65.33,tv
TF1,1997-10-19,914.0,1432.8,109.9,73.5,2346.8,38.95,61.05,tv
TF1,1997-10-26,1421.0,2752.4,150.9,104.7,4173.4,34.05,65.95,tv
TF1,1997-11-02,745.8,1771.0,184.8,84.9,2516.8,29.63,70.37,tv
TF1,1997-11-09,2874.0,7193.9,678.1,301.4,10067.9,28.55,71.45,tv
TF1,1997-11-16,2774.1,6048.3,571.0,240.6,8822.4,31.44,68.56,tv
TF1,1997-11-23,763.0,1859.3,97.1,64.3,2622.3,29.1,70.9,tv
TF1,1997-11-30,1915.7,3791.6,452.0,195.4,5707.3,33.57,66.43,tv
TF1,1997-12-07,1477.9,2624.7,107.1,66.1,4102.6,36.02,63.98,tv
TF1,1997-12-14,1012.7,2405.9,126.9,57.9,3418.7,29.62,70.38,tv
TF1,1997-12-21,3906.1,9100.2,322.7,402.9,13006.3,30.03,69.97,tv
TF1,1997-12-28,770.2,1642.3,105.8,117.7,2412.5,31.93,68.07,tv
TF1,1998-01-04,3932.5,8651.8,868.6,255.7,12584.3,31.25,68.75,tv
TF1,1998-01-11,4387.3,9059.3,718.1,441.9,13446.6,32.63,67.37,tv
TF1,1998-01-18,1353.9,3325.8,309.7,81.8,4679.7,28.93,71.07,tv
TF1,1998-01-25,2284.5,5468.3,267.8,113.1,7752.7,29.47,70.53,tv
TF1,1998-02-01,2456.2,6687.2,341.2,304.0,9143.4,26.86,73.14,tv
TF1,1998-02-08,2524.9,5565.1,187.0,189.8,8090.0,31.21,68.79,tv
TF1,1998-02-15,769.5,1945.1,64.6,134.6,2714.6,28.35,71.65,tv
TF1,1998-02-22,1470.1,2867.6,264.1,175.3,4337.6,33.89,66.11,tv
TF1,1998-03-01,2676.3,6264.8,431.8,236.7,8941.1,29.93,70.07,tv
TF1,1998-03-08,3975.3,8138.0,943.7,181.4,12113.4,32.82,67.18,tv
TF1,1998-03-15,3323.4,7443.3,821.5,185.7,10766.7,30.87,69.13,tv
TF1,1998-03-22,2734.4,5921.0,610.3,134.9,8655.4,31.59,68.41,tv
TF1,1998-03-29,3605.5,8030.6,373.5,192.5,11636.1,30.99,69.01,tv
TF1,1998-04-05,3197.3,6682.8,507.7,240.6,9880.2,32.36,67.64,tv
TF1,1998-04-12,3863.8,8878.4,554.9,543.6,12742.2,30.32,69.68,tv
TF1,1998-04-19,1878.0,5268.2,272.1,285.2,7146.2,26.28,73.72,tv
TF1,1998-04-26,2218.0,5468.7,260.8,353.5,7686.7,28.85,71.15,tv
TF1,1998-05-03,4394.3,8743.1,754.8,192.8,13137.4,33.45,66.55,tv
TF1,1998-05-10,3512.0,10075.7,783.5,317.9,13587.7,25.85,74.15,tv
TF1,1998-05-17,2987.2,6283.8,482.2,424.2,9271.0,32.22,67.78,tv
TF1,1998-05-24,3502.7,8043.4,336.0,259.4,11546.1,30.34,69.66,tv
TF1,1998-05-31,452.5,900.2,73.3,54.8,1352.7,33.45,66.55,tv
TF1,1998-06-07,3723.4,9012.9,516.1,545.8,12736.3,29.23,70.77,tv
TF1,1998-06-14,3580.7,8082.8,338.2,223.6,11663.5,30.7,69.3,tv
TF1,1998-06-21,3081.0,7569.4,673.1,379.6,10650.4,28.93,71.07,tv
TF1,1998-06-28,1393.3,2905.9,175.2,74.2,4299.3,32.41,67.59,tv
TF1,1998-07-05,4747.9,8416.2,724.1,342.7,13164.1,36.07,63.93,tv
TF1,1998-07-12,980.5,1989.7,163.9,89.8,2970.2,33.01,66.99,tv
TF1,1998-07-19,2859.5,6295.1,193.0,410.9,9154.6,31.24,68.76,tv
TF1,1998-07-26,3261.3,7043.5,776.5,394.6,10304.8,31.65,68.35,tv
TF1,1998-08-02,982.2,1977.1,161.5,101.4,2959.3,33.19,66.81,tv
TF1,1998-08-09,4778.3,8735.7,1020.8,378.8,13514.0,35.36,64.64,tv
TF1,1998-08-16,731.0,1697.7,192.1,105.8,2428.7,30.1,69.9,tv
TF1,1998-08-23,2799.2,6083.0,390.3,108.3,8882.2,31.51,68.49,tv
TF1,1998-08-30,1850.5,3574.6,369.8,55.3,5425.2,34.11,65.89,tv
TF1,1998-09-06,2352.2,5802.6,613.2,194.5,8154.8,28.84,71.16,tv
TF1,1998-09-13,1520.9,4062.9,358.8,156.8,5583.9,27.24,72.76,tv
TF1,1998-09-20,860.8,1940.8,85.7,83.9,2801.6,30.73,69.27,tv
TF1,1998-09-27,1810.4,4745.1,490.9,160.6,6555.5,27.62,72.38,tv
TF1,1998-10-04,387.6,689.2,64.4,18.4,1076.8,36.0,64.0,tv
TF1,1998-10-11,4743.9,9130.6,401.2,368.9,13874.4,34.19,65.81,tv
TF1,1998-10-18,682.6,1122.9,117.4,33.2,1805.5,37.81,62.19,tv
TF1,1998-10-25,4105.5,8918.3,420.8,229.6,13023.7,31.52,68.48,tv
TF1,1998-11-01,2667.8,5857.5,204.1,349.7,8525.4,31.29,68.71,tv
TF1,1998-11-08,2107.0,4912.4,361.2,193.9,7019.4,30.02,69.98,tv
TF1,1998-11-15,1033.2,1962.5,92.6,133.2,2995.7,34.49,65.51,tv
TF1,1998-11-22,3581.1,10091.5,579.7,284.8,13672.6,26.19,73.81,tv
TF1,1998-11-29,355.4,887.3,36.5,48.0,1242.7,28.6,71.4,tv
TF1,1998-12-06,3502.4,6293.0,211.8,184.9,9795.5,35.76,64.24,tv
TF1,1998-12-13,386.9,779.2,30.6,49.0,1166.1,33.18,66.82,tv
TF1,1998-12-20,945.2,2365.2,195.9,64.6,3310.4,28.55,71.45,tv
TF1,1998-12-27,3277.6,7373.0,759.8,460.2,10650.6,30.77,69.23,tv
TF1,1999-01-03,1913.8,4348.1,376.3,114.0,6262.0,30.56,69.44,tv
TF1,1999-01-10,354.7,720.8,27.0,19.7,1075.5,32.98,67.02,tv
TF1,1999-01-17,386.6,871.6,38.9,41.9,1258.2,30.73,69.27,tv
TF1,1999-01-24,4035.4,7900.1,483.5,243.2,11935.5,33.81,66.19,tv
TF1,1999-01-31,1870.3,4155.6,333.9,124.9,6025.8,31.04,68.96,tv
TF1,1999-02-07,2363.7,5988.9,385.6,181.9,8352.6,28.3,71.7,tv
TF1,1999-02-14,4918.0,8786.1,902.0,213.8,13704.1,35.89,64.11,tv
TF1,1999-02-21,4075.4,8901.1,882.3,350.5,12976.5,31.41,68.59,tv
TF1,1999-02-28,412.2,791.1,43.5,38.1,1203.3,34.26,65.74,tv
TF1,1999-03-07,782.4,1998.9,195.0,137.3,2781.3,28.13,71.87,tv
TF1,1999-03-14,2667.6,5329.2,242.3,167.1,7996.8,33.36,66.64,tv
TF1,1999-03-21,1471.4,3128.3,244.9,165.9,4599.7,31.99,68.01,tv
TF1,1999-03-28,3516.0,8585.5,391.9,126.3,12101.5,29.05,70.95,tv
TF1,1999-04-04,2894.8,6112.1,539.5,153.3,9007.0,32.14,67.86,tv
TF1,1999-04-11,4497.4,8747.1,597.7,335.4,13244.6,33.96,66.04,tv
TF1,1999-04-18,941.5,2203.3,202.2,41.9,3144.8,29.94,70.06,tv
TF1,1999-04-25,2854.3,6188.3,314.0,231.2,9042.6,31.57,68.43,tv
TF1,1999-05-02,3096.4,7510.7,401.2,346.4,10607.1,29.19,70.81,tv
TF1,1999-05-09,2060.3,5266.4,438.3,347.8,7326.7,28.12,71.88,tv
TF1,1999-05-16,387.8,933.2,47.2,44.7,1321.0,29.35,70.65,tv
TF1,1999-05-23,530.1,1064.1,79.4,54.0,1594.2,33.25,66.75,tv
TF1,1999-05-30,804.0,1535.1,57.3,91.5,2339.1,34.37,65.63,tv
TF1,1999-06-06,2257.2,5332.0,465.2,207.9,7589.1,29.74,70.26,tv
TF1,1999-06-13,3889.9,7802.2,721.2,244.2,11692.1,33.27,66.73,tv
TF1,1999-06-20,2668.8,6199.4,369.4,121.2,8868.1,30.09,69.91,tv
TF1,1999-06-27,1064.5,2334.8,178.5,152.7,3399.3,31.31,68.69,tv
TF1,1999-07-04,3564.6,7220.4,737.6,392.1,10785.0,33.05,66.95,tv
TF1,1999-07-11,1434.2,2836.3,210.8,80.5,4270.5,33.58,66.42,tv
TF1,1999-07-18,4647.0,9586.6,1090.9,164.8,14233.5,32.65,67.35,tv
TF1,1999-07-25,1087.2,2250.5,180.5,155.6,3337.8,32.57,67.43,tv
TF1,1999-08-01,434.9,923.4,84.0,29.7,1358.3,32.02,67.98,tv
TF1,1999-08-08,3936.9,8600.6,886.1,285.4,12537.6,31.4,68.6,tv
TF1,1999-08-15,4014.5,8075.9,268.7,409.3,12090.4,33.2,66.8,tv
TF1,1999-08-22,589.7,1349.2,119.8,45.7,1938.9,30.41,69.59,tv
TF1,1999-08-29,3283.0,7401.4,255.6,241.6,10684.4,30.73,69.27,tv
TF1,1999-09-05,1827.2,3375.9,299.5,236.4,5203.2,35.12,64.88,tv
TF1,1999-09-12,2947.7,6266.4,313.1,101.1,9214.2,31.99,68.01,tv
TF1,1999-09-19,4304.8,9272.6,922.3,677.7,13577.4,31.71,68.29,tv
TF1,1999-09-26,1925.0,3709.6,372.1,146.9,5634.6,34.16,65.84,tv
TF1,1999-10-03,4728.4,7966.2,1003.4,517.1,12694.6,37.25,62.75,tv
TF1,1999-10-10,2000.7,4539.1,296.1,258.3,6539.9,30.59,69.41,tv
TF1,1999-10-17,1731.8,3955.6,211.8,124.3,5687.4,30.45,69.55,tv
TF1,1999-10-24,1248.4,2805.3,91.3,43.4,4053.7,30.8,69.2,tv
TF1,1999-10-31,1912.6,4175.8,370.0,114.0,6088.4,31.41,68.59,tv
TF1,1999-11-07,4403.6,9320.9,922.0,186.3,13724.5,32.09,67.91,tv
TF1,1999-11-14,4637.0,9016.9,656.0,471.6,13653.9,33.96,66.04,tv
TF1,1999-11-21,976.9,2178.0,250.7,60.8,3155.0,30.97,69.03,tv
TF1,1999-11-28,2905.8,6198.7,462.2,175.0,9104.4,31.92,68.08,tv
TF1,1999-12-05,1074.6,2208.5,109.1,57.3,3283.1,32.73,67.27,tv
TF1,1999-12-12,502.7,1178.2,131.4,76.2,1680.9,29.91,70.09,tv
TF1,1999-12-19,4627.8,8796.8,1069.9,227.6,13424.7,34.47,65.53,tv
TF1,1999-12-26,3609.0,6687.3,301.0,439.0,10296.3,35.05,64.95,tv
TF1,2000-01-02,1186.8,2743.2,131.4,123.7,3929.9,30.2,69.8,tv
TF1,2000-01-09,757.8,1377.3,155.1,44.0,2135.1,35.49,64.51,tv
TF1,2000-01-16,956.5,1692.0,194.2,127.7,2648.5,36.11,63.89,tv
TF1,2000-01-23,3151.7,6594.0,517.0,131.4,9745.8,32.34,67.66,tv
TF1,2000-01-30,2082.1,4332.0,271.7,130.8,6414.1,32.46,67.54,tv
TF1,2000-02-06,629.0,1365.1,66.2,74.4,1994.1,31.54,68.46,tv
TF1,2000-02-13,696.1,1231.6,137.0,57.5,1927.8,36.11,63.89,tv
TF1,2000-02-20,4565.7,7467.5,491.8,446.7,12033.2,37.94,62.06,tv
TF1,2000-02-27,2586.6,5950.7,307.5,385.4,8537.4,30.3,69.7,tv
TF1,2000-03-05,4098.9,8283.9,892.0,474.7,12382.9,33.1,66.9,tv
TF1,2000-03-12,4196.3,8003.4,754.5,453.9,12199.7,34.4,65.6,tv
TF1,2000-03-19,1066.9,1974.3,221.6,136.5,3041.2,35.08,64.92,tv
TF1,2000-03-26,430.5,864.3,90.1,19.6,1294.8,33.25,66.75,tv
TF1,2000-04-02,1063.6,2006.7,212.1,132.9,3070.3,34.64,65.36,tv
TF1,2000-04-09,2292.9,5457.9,158.0,166.5,7750.8,29.58,70.42,tv
TF1,2000-04-16,3027.1,6402.4,335.6,333.4,9429.5,32.1,67.9,tv
TF1,2000-04-23,2599.5,5590.3,547.0,116.9,8189.8,31.74,68.26,tv
TF1,2000-04-30,4482.7,9417.7,563.1,490.8,13900.4,32.25,67.75,tv
TF1,2000-05-07,4795.5,8686.9,352.6,640.3,13482.4,35.57,64.43,tv
TF1,2000-05-14,1514.2,3448.8,310.1,63.0,4963.0,30.51,69.49,tv
TF1,2000-05-21,2812.6,5946.7,357.0,305.1,8759.3,32.11,67.89,tv
TF1,2000-05-28,3366.3,7770.2,239.2,121.2,11136.6,30.23,69.77,tv
TF1,2000-06-04,1715.9,3552.8,259.8,215.1,5268.7,32.57,67.43,tv
TF1,2000-06-11,1389.1,3204.9,366.7,124.3,4594.0,30.24,69.76,tv
TF1,2000-06-18,2540.7,4453.1,208.5,292.3,6993.7,36.33,63.67,tv
TF1,2000-06-25,585.0,1427.2,122.4,72.8,2012.1,29.07,70.93,tv
TF1,2000-07-02,1532.5,3056.5,353.6,73.6,4589.0,33.4,66.6,tv
TF1,2000-07-09,2183.3,4383.0,382.9,170.1,6566.3,33.25,66.75,tv
TF1,2000-07-16,1443.9,3158.0,363.7,121.4,4601.9,31.38,68.62,tv
TF1,2000-07-23,1171.7,2605.2,82.6,136.2,3776.9,31.02,68.98,tv
TF1,2000-07-30,1909.7,3965.4,422.2,170.0,5875.1,32.51,67.49,tv
TF1,2000-08-06,3672.9,7634.6,799.3,457.3,11307.4,32.48,67.52,tv
TF1,2000-08-13,3065.0,6289.0,260.7,105.7,9354.0,32.77,67.23,tv
TF1,2000-08-20,3742.6,7910.7,569.7,171.2,11653.3,32.12,67.88,tv
TF1,2000-08-27,865.0,1725.0,158.3,70.5,2590.0,33.4,66.6,tv
TF1,2000-09-03,557.0,1209.8,97.0,36.7,1766.8,31.52,68.48,tv
TF1,2000-09-10,3272.4,8394.7,450.6,329.1,11667.0,28.05,71.95,tv
TF1,2000-09-17,2744.6,6255.7,337.5,340.2,9000.3,30.49,69.51,tv
TF1,2000-09-24,3198.6,9313.0,835.7,144.9,12511.7,25.57,74.43,tv
TF1,2000-10-01,1217.3,2950.4,330.1,65.4,4167.6,29.21,70.79,tv
TF1,2000-10-08,2405.5,5229.5,435.9,290.9,7635.0,31.51,68.49,tv
TF1,2000-10-15,1649.1,3658.1,271.0,71.7,5307.2,31.07,68.93,tv
TF1,2000-10-22,1785.4,3848.1,123.9,74.0,5633.5,31.69,68.31,tv
TF1,2000-10-29,2493.3,6068.5,525.4,359.8,8561.8,29.12,70.88,tv
TF1,2000-11-05,1113.8,2488.2,108.2,51.1,3602.0,30.92,69.08,tv
TF1,2000-11-12,465.9,860.5,101.0,16.0,1326.4,35.12,64.88,tv
TF1,2000-11-19,2785.3,5422.2,513.3,368.0,8207.5,33.94,66.06,tv
TF1,2000-11-26,1856.6,3626.0,377.7,72.4,5482.6,33.86,66.14,tv
TF1,2000-12-03,4311.0,8669.0,686.1,554.1,12980.0,33.21,66.79,tv
TF1,2000-12-10,2947.4,5059.0,511.6,106.2,8006.4,36.81,63.19,tv
