poids,age_groupe,tv_lineaire_freq,svod_usage,youtube_freq,rs_video_freq,radio_freq,podcast_freq,smart_tv,smartphone_video,annee_enquete
0.9524,15-24,1,1,0,1,0,0,1,1,2024
0.8492,15-24,1,1,1,1,0,0,0,1,2024
0.978,15-24,0,0,1,1,0,0,1,1,2024
1.1268,15-24,0,0,0,0,1,0,0,1,2024
0.9721,15-24,0,1,1,0,1,0,0,1,2024
1.1483,15-24,0,1,1,1,0,1,0,1,2024
1.0132,15-24,0,1,1,1,0,1,1,1,2024
1.1186,15-24,0,1,0,1,0,0,1,1,2024
0.8384,15-24,0,0,1,1,0,0,0,1,2024
0.8923,15-24,0,1,1,1,0,1,0,1,2024
0.8574,15-24,0,1,1,1,0,0,0,1,2024
1.0504,15-24,0,1,1,1,1,0,1,1,2024
1.1967,15-24,0,0,1,1,0,0,1,1,2024
0.8196,15-24,0,1,1,1,1,1,0,1,2024
0.8924,15-24,1,0,1,0,0,0,0,1,2024
0.8849,15-24,0,1,1,0,0,0,0,1,2024
0.9216,15-24,1,1,1,1,1,0,0,1,2024
0.8139,15-24,0,0,1,1,0,1,1,1,2024
0.865,15-24,0,1,1,1,0,0,0,1,2024
1.0796,15-24,1,1,1,0,1,0,0,1,2024
0.8124,15-24,1,1,0,1,0,1,1,1,2024
0.9291,15-24,0,1,1,1,0,1,1,1,2024
1.0092,15-24,0,1,1,0,0,0,0,1,2024
1.0528,15-24,0,1,1,1,0,1,1,1,2024
1.1833,15-24,0,1,1,1,0,1,1,1,2024
1.0513,15-24,1,1,1,1,0,0,1,1,2024
0.9792,15-24,0,0,1,1,0,0,1,1,2024
1.1175,15-24,0,0,1,1,0,1,1,1,2024
1.1259,15-24,0,0,1,1,0,0,0,1,2024
1.1218,15-24,0,0,1,1,0,0,0,1,2024
1.015,15-24,1,1,1,1,0,0,1,1,2024
1.1496,15-24,0,1,1,1,0,0,1,1,2024
0.9312,15-24,1,0,1,1,0,0,1,0,2024
1.0011,15-24,0,1,1,0,0,0,0,0,2024
0.8632,15-24,0,0,1,1,0,1,0,1,2024
1.0983,15-24,0,1,1,0,0,1,1,1,2024
0.998,15-24,1,1,1,1,0,1,1,1,2024
0.9278,15-24,0,1,1,1,1,0,0,1,2024
0.8367,15-24,0,1,1,1,0,0,0,1,2024
0.8637,15-24,1,1,1,1,0,0,1,1,2024
0.8671,15-24,0,1,1,1,0,0,1,1,2024
1.0184,15-24,0,1,1,1,0,1,1,0,2024
0.9651,15-24,0,0,1,1,0,1,0,1,2024
1.0907,15-24,1,1,1,0,0,0,1,1,2024
0.8918,15-24,0,1,1,1,0,1,0,0,2024
0.8531,15-24,0,1,1,1,0,0,0,1,2024
0.8004,15-24,1,1,0,1,1,1,1,1,2024
1.1711,15-24,1,0,1,1,0,0,1,1,2024
0.9553,15-24,0,1,1,0,0,1,0,1,2024
0.9191,15-24,0,1,0,1,0,0,1,1,2024
1.0046,15-24,1,1,1,1,1,0,0,1,2024
1.151,15-24,0,1,1,1,0,1,0,1,2024
0.9207,15-24,0,1,1,1,0,0,1,1,2024
0.862,15-24,0,0,0,1,0,0,0,1,2024
0.9676,15-24,1,1,1,1,0,0,0,1,2024
0.8529,15-24,0,0,1,1,0,1,1,0,2024
0.9375,15-24,1,1,1,0,1,0,1,1,2024
0.9822,15-24,0,1,1,1,0,0,1,1,2024
1.1534,15-24,0,1,1,1,0,0,0,1,2024
0.98,15-24,1,0,1,0,1,0,0,1,2024
1.0639,15-24,1,0,1,0,1,1,1,1,2024
1.0654,15-24,0,0,1,1,0,1,1,1,2024
1.0094,15-24,1,1,1,0,0,0,1,1,2024
1.106,15-24,0,1,1,1,0,0,0,1,2024
1.0231,15-24,0,0,0,1,0,0,0,1,2024
0.8028,15-24,0,1,1,1,0,1,0,1,2024
0.8324,15-24,0,1,1,1,0,0,0,1,2024
1.1955,15-24,0,1,1,1,0,0,0,1,2024
1.1165,15-24,1,1,1,1,0,0,1,1,2024
1.0775,15-24,1,0,1,0,0,0,1,0,2024
0.9733,15-24,0,1,1,1,1,0,0,0,2024
0.9516,15-24,0,1,0,1,0,1,0,1,2024
1.112,15-24,1,1,1,1,0,0,1,1,2024
1.068,15-24,0,0,1,1,0,1,1,1,2024
1.1981,15-24,0,1,0,1,0,0,0,0,2024
0.8956,15-24,0,1,1,1,1,0,0,1,2024
1.0393,15-24,1,1,1,1,0,0,0,1,2024
0.8626,15-24,0,0,1,1,1,0,0,1,2024
0.9033,15-24,0,1,1,1,0,1,0,1,2024
1.0402,15-24,1,1,1,0,1,0,0,0,2024
0.8688,15-24,1,1,1,1,0,1,0,1,2024
0.9748,15-24,0,1,1,0,0,0,0,1,2024
0.8493,15-24,1,0,1,1,0,1,0,1,2024
1.1113,15-24,0,1,1,0,0,1,0,1,2024
0.8292,15-24,1,0,1,1,0,0,1,1,2024
1.0968,15-24,0,1,1,1,0,0,0,1,2024
1.0901,15-24,0,1,1,1,0,1,0,1,2024
1.0149,15-24,1,1,1,1,0,1,1,1,2024
0.8216,15-24,0,1,1,1,0,1,0,0,2024
0.8408,15-24,1,1,1,0,0,1,1,0,2024
0.9236,15-24,0,0,1,0,0,0,1,1,2024
0.8315,15-24,0,1,0,1,0,1,0,1,2024
1.0924,15-24,0,0,1,1,0,1,0,1,2024
1.1513,15-24,0,0,1,0,1,0,1,1,2024
0.8466,15-24,0,1,1,0,1,0,1,1,2024
1.1383,15-24,0,1,1,1,0,0,1,1,2024
1.0252,15-24,0,0,1,1,0,0,1,1,2024
0.9637,15-24,0,1,1,1,0,0,1,1,2024
1.1075,15-24,0,0,1,0,0,1,0,1,2024
1.1244,15-24,0,0,1,1,1,1,0,1,2024
1.0463,15-24,0,0,0,1,0,0,1,1,2024
1.1502,15-24,0,1,0,1,1,0,1,1,2024
0.9426,15-24,1,0,1,1,0,0,0,0,2024
1.0523,15-24,0,1,1,1,1,1,1,1,2024
1.1038,15-24,0,0,1,1,0,0,1,1,2024
0.8701,15-24,0,0,0,1,0,0,0,0,2024
0.8134,15-24,0,0,1,1,0,1,1,1,2024
1.1392,15-24,0,1,1,1,0,0,0,1,2024
1.1378,15-24,0,1,1,0,0,0,1,0,2024
0.9319,15-24,0,0,1,1,1,0,0,1,2024
1.0937,15-24,0,0,1,1,1,0,0,1,2024
1.1187,15-24,0,0,1,1,0,0,1,1,2024
1.1695,15-24,0,1,1,1,0,0,0,1,2024
1.0321,15-24,1,0,1,1,0,0,1,0,2024
0.8111,15-24,0,0,1,1,1,0,0,1,2024
0.9462,15-24,0,1,1,1,0,0,1,1,2024
1.12,15-24,0,1,1,1,0,0,1,1,2024
1.1601,15-24,0,1,1,1,0,0,0,1,2024
1.0247,15-24,0,1,0,1,1,0,0,1,2024
1.1128,15-24,0,0,1,0,0,0,1,1,2024
0.8234,15-24,0,1,1,1,1,0,1,1,2024
0.8381,15-24,0,0,1,1,0,0,0,1,2024
0.8194,15-24,0,1,1,1,0,0,0,1,2024
0.9758,15-24,0,1,1,1,0,0,0,1,2024
1.1566,15-24,0,1,1,1,0,0,1,1,2024
1.0497,15-24,0,1,1,1,0,0,0,1,2024
1.0391,15-24,1,1,1,1,0,0,0,1,2024
1.0934,15-24,0,1,0,1,0,0,1,1,2024
1.1222,15-24,1,1,1,1,0,0,0,1,2024
1.1879,15-24,1,1,1,1,0,0,1,1,2024
1.1714,15-24,1,1,1,1,0,1,0,1,2024
1.1296,15-24,1,1,1,1,1,0,1,1,2024
0.9203,15-24,1,0,1,0,0,0,1,1,2024
0.9011,15-24,0,1,1,1,0,1,0,1,2024
1.0558,15-24,0,1,1,1,0,1,0,0,2024
1.0146,15-24,0,1,1,0,1,0,1,1,2024
0.9902,15-24,0,1,1,1,0,1,1,1,2024
0.8894,15-24,0,1,1,1,0,0,0,1,2024
1.0035,15-24,1,1,1,1,0,1,0,0,2024
0.9023,15-24,0,1,1,1,0,0,1,1,2024
1.126,15-24,0,1,1,0,0,0,0,1,2024
0.8458,15-24,0,1,1,0,0,0,1,1,2024
0.84,15-24,0,1,1,1,0,0,1,1,2024
1.1968,15-24,0,0,1,1,1,0,1,1,2024
0.8752,15-24,0,1,1,0,1,0,0,1,2024
1.1643,15-24,0,1,1,1,0,0,1,1,2024
1.1623,15-24,0,1,1,1,0,0,0,1,2024
1.0343,15-24,0,1,1,1,0,0,1,0,2024
1.1749,15-24,0,1,1,1,0,0,0,1,2024
0.9722,15-24,0,0,1,1,0,0,1,1,2024
0.9862,15-24,0,0,1,1,1,0,0,0,2024
1.0616,15-24,0,1,1,1,0,0,0,1,2024
1.1578,15-24,1,1,1,1,0,0,1,1,2024
0.9495,15-24,1,1,1,1,0,0,0,1,2024
0.8264,15-24,1,0,1,0,0,1,0,1,2024
1.0663,15-24,0,1,1,0,1,0,1,1,2024
0.9515,15-24,1,1,1,1,0,0,0,1,2024
0.9488,15-24,1,1,1,1,0,0,1,1,2024
0.9783,15-24,1,0,1,1,0,0,0,1,2024
1.1407,15-24,0,1,0,1,1,0,0,1,2024
0.8807,25-34,0,1,0,0,1,0,1,0,2024
0.93,25-34,0,1,0,0,1,0,0,1,2024
0.8635,25-34,1,0,1,1,1,1,1,1,2024
1.1427,25-34,1,1,1,1,0,0,1,1,2024
1.1791,25-34,1,0,1,0,0,0,0,1,2024
1.0611,25-34,1,0,1,1,0,0,0,1,2024
1.1485,25-34,0,1,1,0,0,1,1,1,2024
1.0778,25-34,0,1,0,1,0,0,1,0,2024
0.9207,25-34,1,1,1,0,1,1,0,1,2024
0.9264,25-34,1,1,0,1,0,0,0,1,2024
0.8509,25-34,1,1,1,1,0,1,0,0,2024
0.8207,25-34,1,0,1,1,0,1,1,1,2024
0.8624,25-34,0,0,0,1,0,0,0,1,2024
0.9541,25-34,0,1,1,1,1,1,1,1,2024
0.9007,25-34,0,1,1,0,0,1,1,0,2024
0.9394,25-34,1,0,1,1,0,1,0,0,2024
1.088,25-34,1,0,1,0,0,0,0,1,2024
1.1684,25-34,1,1,1,1,1,0,1,1,2024
0.8248,25-34,1,1,0,0,1,0,0,1,2024
0.8936,25-34,1,1,0,1,0,0,1,0,2024
0.8569,25-34,0,1,1,0,0,0,1,1,2024
0.9797,25-34,1,1,1,1,1,0,1,1,2024
1.1473,25-34,1,1,1,1,0,0,0,1,2024
0.8084,25-34,0,0,1,0,0,0,1,1,2024
0.9576,25-34,1,1,1,0,0,0,1,1,2024
0.807,25-34,1,1,0,1,0,0,0,1,2024
0.989,25-34,1,1,0,1,0,0,0,1,2024
0.9393,25-34,0,1,0,0,1,0,0,1,2024
1.1346,25-34,1,1,0,1,0,1,1,0,2024
0.9481,25-34,0,1,1,1,0,0,1,1,2024
1.049,25-34,1,1,0,1,1,0,1,0,2024
0.8394,25-34,0,1,0,1,0,1,1,0,2024
0.8106,25-34,1,0,1,0,0,1,0,1,2024
1.0709,25-34,0,1,1,1,1,1,1,0,2024
0.8028,25-34,0,0,1,1,0,0,1,1,2024
1.1882,25-34,1,1,1,1,0,0,0,1,2024
1.1089,25-34,1,1,0,0,0,1,0,1,2024
1.1929,25-34,1,1,1,1,0,1,1,0,2024
0.9655,25-34,0,1,0,1,0,1,0,0,2024
1.0863,25-34,1,1,1,1,0,0,1,1,2024
1.1792,25-34,0,0,0,1,1,1,0,1,2024
1.0909,25-34,1,1,1,1,0,1,0,1,2024
1.0562,25-34,0,1,0,1,1,0,1,0,2024
0.8069,25-34,1,1,1,0,1,0,1,1,2024
0.8556,25-34,1,1,1,1,0,0,0,0,2024
1.0164,25-34,0,0,0,0,1,0,0,1,2024
1.1003,25-34,1,0,1,1,1,0,0,1,2024
1.1947,25-34,1,1,0,1,1,1,0,1,2024
1.0944,25-34,0,1,1,1,1,0,0,1,2024
1.1315,25-34,1,1,0,1,1,0,1,1,2024
1.0428,25-34,0,0,0,0,0,0,1,1,2024
0.91,25-34,1,0,1,1,0,0,1,1,2024
1.082,25-34,1,0,1,0,0,0,1,1,2024
0.9295,25-34,0,1,1,0,0,1,1,0,2024
0.8846,25-34,1,1,1,0,0,0,0,1,2024
1.1829,25-34,1,1,1,0,1,1,0,1,2024
0.855,25-34,1,0,1,1,1,1,1,1,2024
1.1914,25-34,0,1,0,1,0,0,1,1,2024
1.1474,25-34,1,1,1,1,0,1,0,0,2024
0.845,25-34,0,1,1,1,0,1,0,0,2024
0.9908,25-34,0,1,1,1,1,1,1,1,2024
1.0426,25-34,0,1,1,0,0,0,0,1,2024
1.013,25-34,0,0,1,1,0,0,0,1,2024
1.1071,25-34,1,1,1,1,0,1,1,1,2024
1.1241,25-34,0,0,1,1,0,1,1,0,2024
0.9212,25-34,1,1,1,0,0,1,0,1,2024
0.9549,25-34,1,1,1,1,1,0,1,1,2024
1.0171,25-34,1,1,1,1,0,1,1,0,2024
0.9547,25-34,1,0,1,0,0,1,0,1,2024
1.1252,25-34,1,1,1,1,0,1,0,1,2024
1.1733,25-34,0,1,1,1,0,1,1,1,2024
0.9627,25-34,1,0,1,1,0,0,1,0,2024
0.8659,25-34,0,1,0,1,0,1,0,1,2024
1.1147,25-34,0,0,1,1,1,0,0,1,2024
0.8761,25-34,0,0,1,1,0,0,0,0,2024
1.0901,25-34,0,0,1,1,1,0,0,1,2024
1.1675,25-34,1,1,0,1,0,1,0,1,2024
1.1736,25-34,1,1,1,1,1,1,1,1,2024
0.9197,25-34,1,1,1,0,1,0,1,1,2024
1.0584,25-34,1,0,1,1,0,0,1,1,2024
1.1509,25-34,1,1,1,0,1,0,0,1,2024
0.8919,25-34,0,0,1,1,1,1,1,1,2024
1.0272,25-34,1,1,1,1,0,0,1,0,2024
1.0204,25-34,0,1,1,1,0,0,0,0,2024
0.812,25-34,0,1,1,0,0,0,0,1,2024
1.1072,25-34,0,1,1,0,0,1,0,1,2024
1.0746,25-34,1,1,1,1,1,1,1,1,2024
1.002,25-34,1,0,1,1,0,1,1,1,2024
1.0769,25-34,1,1,0,1,1,1,1,1,2024
1.1768,25-34,1,1,1,1,0,0,1,1,2024
1.1234,25-34,1,1,1,0,0,1,1,1,2024
1.0572,25-34,1,0,0,1,0,0,0,1,2024
1.108,25-34,0,1,1,1,0,0,1,1,2024
0.9603,25-34,1,1,1,1,1,1,0,1,2024
0.8852,25-34,0,1,1,1,0,0,0,1,2024
0.8755,25-34,0,1,1,1,0,0,0,1,2024
0.9314,25-34,0,0,1,1,0,0,0,1,2024
0.8004,25-34,0,0,1,0,0,1,0,1,2024
1.1695,25-34,0,1,0,1,0,1,1,1,2024
0.9312,25-34,1,1,1,1,0,0,0,1,2024
0.9542,25-34,0,1,1,1,1,0,0,1,2024
0.9007,25-34,1,1,1,0,1,0,0,1,2024
1.0694,25-34,0,0,0,0,1,0,0,1,2024
1.0854,25-34,1,0,0,1,0,0,1,0,2024
1.123,25-34,0,1,0,1,0,0,1,1,2024
1.0393,25-34,0,0,1,1,1,0,0,1,2024
1.1204,25-34,0,1,1,1,1,1,1,1,2024
0.8989,25-34,0,1,1,0,1,1,1,1,2024
0.8452,25-34,0,0,1,1,1,0,0,1,2024
0.9916,25-34,0,1,1,1,0,0,0,1,2024
1.1417,25-34,1,0,0,1,0,0,1,1,2024
0.9665,25-34,1,1,1,1,0,1,1,1,2024
1.1387,25-34,1,0,0,1,0,0,0,0,2024
1.0512,25-34,0,0,0,1,1,1,0,1,2024
0.9876,25-34,1,0,1,1,1,0,1,1,2024
0.884,25-34,1,1,1,0,0,0,0,1,2024
1.073,25-34,1,1,1,1,0,1,1,1,2024
0.9462,25-34,0,0,1,1,0,1,1,0,2024
0.9884,25-34,1,1,0,0,1,1,0,1,2024
0.8258,25-34,1,1,1,0,1,1,1,1,2024
0.9634,25-34,1,0,1,1,1,1,0,1,2024
0.9066,25-34,1,0,1,1,0,1,1,1,2024
1.1997,25-34,1,1,0,0,1,0,0,1,2024
1.1159,25-34,0,1,1,1,1,0,1,1,2024
0.99,25-34,0,1,0,0,0,0,1,1,2024
0.9896,25-34,0,1,1,1,0,0,1,1,2024
0.9869,25-34,1,1,1,1,0,0,1,0,2024
1.1461,25-34,1,0,1,0,1,0,1,1,2024
0.9608,25-34,1,0,1,1,0,0,0,0,2024
1.1441,25-34,1,1,1,1,0,0,0,1,2024
1.158,25-34,0,1,1,1,0,0,0,1,2024
0.8724,25-34,0,0,1,1,0,0,0,1,2024
1.1369,25-34,1,1,0,1,0,1,0,1,2024
0.9735,25-34,1,0,0,0,0,1,0,1,2024
0.8916,25-34,1,1,1,1,1,1,1,1,2024
1.0174,25-34,0,1,1,1,0,0,0,1,2024
1.084,25-34,1,1,1,1,1,1,1,1,2024
0.9185,25-34,1,1,1,1,1,1,1,1,2024
1.1039,25-34,1,1,0,0,1,0,0,0,2024
0.8329,25-34,1,1,1,1,1,0,1,1,2024
0.9263,25-34,1,1,1,0,1,1,0,0,2024
1.0908,25-34,1,1,1,1,0,0,0,1,2024
1.1793,25-34,0,0,1,0,0,0,1,0,2024
0.9104,25-34,0,1,1,1,1,0,1,1,2024
0.8785,25-34,1,1,0,0,1,1,0,1,2024
0.8114,25-34,1,1,1,1,1,0,0,1,2024
1.0369,25-34,1,1,0,1,1,0,1,1,2024
1.075,25-34,1,1,1,1,0,0,1,1,2024
1.0537,25-34,0,1,1,1,0,0,1,1,2024
1.1563,25-34,0,0,0,1,0,0,1,1,2024
1.0096,25-34,0,1,1,1,0,0,1,1,2024
1.1551,25-34,0,1,1,1,1,0,1,1,2024
0.9653,25-34,1,0,1,1,0,0,1,1,2024
0.9141,25-34,0,0,1,1,0,0,1,1,2024
1.1962,25-34,0,1,1,1,1,0,0,0,2024
1.0421,25-34,0,1,1,0,0,0,0,1,2024
1.0846,25-34,0,1,1,0,0,0,0,1,2024
0.9895,25-34,1,1,1,1,0,1,1,0,2024
0.9287,25-34,0,1,1,1,0,0,1,1,2024
1.1548,25-34,1,1,1,1,1,0,0,1,2024
0.9146,25-34,0,0,1,0,1,0,1,1,2024
0.815,25-34,0,0,1,1,1,1,1,0,2024
0.9553,25-34,1,1,1,1,0,0,1,1,2024
1.1181,25-34,0,1,0,1,1,0,0,1,2024
0.8981,25-34,1,0,1,1,1,1,0,1,2024
0.8182,25-34,0,0,1,1,1,1,0,1,2024
0.9514,25-34,0,1,1,0,0,0,0,1,2024
1.0211,25-34,0,1,1,1,1,1,1,0,2024
0.8735,25-34,0,1,1,1,0,0,0,1,2024
1.0754,25-34,0,1,0,1,1,1,1,0,2024
1.0623,25-34,1,1,1,1,1,0,1,1,2024
1.1072,25-34,0,0,1,1,1,0,1,1,2024
1.0878,25-34,0,1,1,0,1,0,1,1,2024
1.1014,25-34,1,0,0,0,1,0,1,1,2024
0.9046,25-34,0,1,1,1,1,1,0,1,2024
0.8813,25-34,0,1,1,0,0,1,0,1,2024
1.0213,25-34,0,1,1,1,0,0,0,1,2024
0.9857,25-34,1,1,1,1,0,0,1,1,2024
0.8802,25-34,1,1,1,1,0,0,0,1,2024
0.8716,25-34,0,1,1,1,0,1,1,0,2024
1.1085,25-34,0,1,1,1,0,1,1,1,2024
0.926,25-34,0,1,1,1,1,0,1,0,2024
0.9103,25-34,1,1,0,1,0,0,1,1,2024
0.9289,25-34,1,1,0,0,1,0,0,1,2024
0.9906,25-34,1,1,1,1,0,0,0,1,2024
1.1725,25-34,0,1,0,1,1,1,0,1,2024
1.1218,25-34,0,1,1,1,0,1,0,1,2024
0.9807,25-34,0,1,0,1,0,1,1,1,2024
0.9219,25-34,0,0,1,1,0,0,0,1,2024
0.9271,25-34,0,1,1,0,0,1,1,1,2024
0.9799,25-34,0,1,1,1,1,0,1,0,2024
0.8058,25-34,0,0,1,0,1,1,0,1,2024
0.993,25-34,0,1,1,1,1,0,1,1,2024
1.0732,25-34,1,1,1,1,0,1,0,1,2024
1.1823,25-34,1,1,0,1,0,0,0,1,2024
1.0529,25-34,1,1,1,1,1,0,1,1,2024
1.0888,25-34,0,0,1,1,0,1,1,1,2024
0.8862,25-34,1,1,1,1,0,0,1,1,2024
0.8198,25-34,0,1,0,1,0,0,1,1,2024
0.815,25-34,1,1,0,0,1,1,1,0,2024
1.023,35-49,1,1,1,0,1,1,0,1,2024
0.9442,35-49,1,0,1,0,0,0,0,0,2024
1.1287,35-49,1,1,1,1,0,0,1,1,2024
0.9339,35-49,0,1,0,1,0,0,1,1,2024
1.0022,35-49,1,1,0,0,1,0,0,1,2024
0.9688,35-49,1,0,1,0,1,0,1,1,2024
0.9636,35-49,1,1,0,0,1,0,1,1,2024
0.836,35-49,1,0,0,1,1,0,0,1,2024
0.8961,35-49,1,0,0,1,1,0,0,1,2024
1.0814,35-49,1,1,1,1,1,1,1,1,2024
1.0625,35-49,0,1,0,1,1,0,1,0,2024
1.1614,35-49,0,1,1,1,1,0,0,1,2024
0.9112,35-49,1,0,1,1,0,0,0,1,2024
0.8578,35-49,1,0,0,1,1,1,1,1,2024
1.1075,35-49,1,0,1,1,1,1,0,1,2024
1.1547,35-49,1,1,1,0,1,0,1,0,2024
0.9748,35-49,1,0,0,1,0,0,0,1,2024
0.9783,35-49,1,1,1,0,0,0,0,0,2024
1.0293,35-49,1,1,1,1,0,0,0,0,2024
0.8086,35-49,1,1,1,1,1,1,1,1,2024
0.949,35-49,1,1,1,0,0,0,1,1,2024
1.1303,35-49,1,1,1,1,1,0,1,0,2024
1.0969,35-49,1,1,1,0,1,0,0,1,2024
1.0818,35-49,1,1,1,1,0,0,0,1,2024
0.9575,35-49,1,0,0,0,0,0,1,1,2024
1.011,35-49,0,1,1,1,0,0,0,1,2024
0.8399,35-49,0,0,0,1,0,0,0,0,2024
0.9656,35-49,0,1,0,0,1,0,1,1,2024
1.0611,35-49,1,0,0,1,1,0,1,0,2024
0.9775,35-49,0,1,1,0,0,0,1,1,2024
1.0785,35-49,1,1,0,1,0,0,0,1,2024
1.0015,35-49,0,1,1,1,1,1,1,1,2024
1.1214,35-49,1,1,1,1,1,0,1,1,2024
1.0455,35-49,1,0,1,0,0,0,1,0,2024
0.8988,35-49,1,1,1,0,1,0,1,1,2024
1.1997,35-49,0,1,1,1,0,1,1,1,2024
0.9348,35-49,0,1,0,0,0,0,1,0,2024
1.0981,35-49,0,1,1,0,0,0,0,0,2024
1.1557,35-49,1,1,1,1,1,0,0,1,2024
0.8153,35-49,1,1,0,1,1,0,1,1,2024
1.126,35-49,0,1,0,1,0,1,0,1,2024
1.1079,35-49,1,0,1,0,1,0,1,1,2024
0.8123,35-49,1,0,1,1,0,0,1,1,2024
0.9874,35-49,1,1,1,0,0,0,1,1,2024
0.9016,35-49,1,1,0,1,0,1,1,1,2024
0.8696,35-49,0,1,1,1,1,0,1,0,2024
0.9296,35-49,1,1,0,1,0,1,1,1,2024
1.1955,35-49,1,0,1,0,0,0,1,1,2024
0.9599,35-49,1,0,1,1,1,0,1,1,2024
0.8788,35-49,1,0,1,1,1,1,1,1,2024
0.9682,35-49,0,1,0,1,1,1,0,0,2024
0.8046,35-49,1,0,1,1,1,0,0,1,2024
1.0542,35-49,1,0,0,1,0,0,0,0,2024
1.1064,35-49,0,0,0,0,0,0,0,1,2024
1.0702,35-49,0,0,1,1,0,1,0,1,2024
1.0376,35-49,1,1,1,0,0,0,0,1,2024
0.8959,35-49,1,1,1,0,1,0,0,1,2024
0.8057,35-49,1,0,0,0,1,0,0,1,2024
1.1215,35-49,1,1,1,1,1,1,1,1,2024
1.171,35-49,0,1,1,1,1,1,1,1,2024
0.9931,35-49,1,1,0,0,0,1,0,0,2024
1.1907,35-49,1,1,1,1,0,0,0,1,2024
1.0351,35-49,1,0,1,0,0,0,0,1,2024
1.1757,35-49,1,0,0,1,0,1,0,1,2024
1.1919,35-49,1,0,0,0,0,1,1,0,2024
1.0267,35-49,1,1,1,1,0,0,1,1,2024
1.1901,35-49,0,1,1,0,1,0,0,0,2024
0.8201,35-49,0,1,0,0,0,0,0,0,2024
0.8114,35-49,1,0,1,1,0,1,1,1,2024
0.9229,35-49,1,0,0,0,1,0,0,1,2024
0.8169,35-49,0,0,1,1,1,1,1,1,2024
1.1967,35-49,1,0,0,1,0,1,0,1,2024
1.0699,35-49,1,1,1,0,0,0,1,1,2024
0.9592,35-49,1,0,0,1,0,0,1,0,2024
0.9579,35-49,1,0,0,0,0,0,1,1,2024
0.9544,35-49,1,0,0,1,0,0,1,1,2024
1.0521,35-49,1,0,0,1,1,1,0,1,2024
0.9129,35-49,1,1,0,1,1,0,0,1,2024
0.9091,35-49,0,1,0,0,0,0,1,1,2024
1.1919,35-49,0,1,0,1,1,0,1,1,2024
0.8794,35-49,1,0,1,1,0,1,0,1,2024
1.1472,35-49,1,0,1,1,1,0,0,1,2024
0.9889,35-49,0,1,1,0,0,1,1,0,2024
0.9874,35-49,1,1,1,0,0,1,1,0,2024
0.8144,35-49,0,1,1,1,1,1,1,1,2024
1.0236,35-49,1,1,1,1,1,1,1,1,2024
0.8168,35-49,1,1,1,1,0,1,0,0,2024
1.0036,35-49,1,0,1,1,0,0,1,1,2024
0.9898,35-49,0,0,1,0,1,1,1,0,2024
0.9476,35-49,0,1,0,0,0,1,0,1,2024
0.8418,35-49,0,1,0,0,0,1,0,1,2024
0.9141,35-49,1,1,0,1,0,1,0,1,2024
0.9838,35-49,0,1,1,1,0,0,0,1,2024
0.9914,35-49,1,1,0,0,0,0,1,1,2024
0.8553,35-49,1,0,1,1,0,0,1,1,2024
0.9114,35-49,0,0,1,1,0,1,1,0,2024
