channel,year,month,date,theme,nb_sujets,pct_sujets,duration_seconds
France 3,2000,3,2000-03-01,Économie,23,14.76,780.0
France 3,2000,3,2000-03-01,Société,14,11.73,639.0
France 3,2000,3,2000-03-01,Faits divers,13,9.42,384.0
France 3,2000,3,2000-03-01,Sport,12,7.6,310.0
France 3,2000,3,2000-03-01,Culture,4,5.08,330.0
France 3,2000,3,2000-03-01,Environnement,8,4.04,182.0
France 3,2000,3,2000-03-01,Justice,3,3.18,150.0
France 3,2000,3,2000-03-01,Santé,1,2.18,115.0
France 3,2000,3,2000-03-01,Sciences & Techno,0,0.85,45.0
France 3,2000,3,2000-03-01,Météo,2,1.13,49.0
France 3,2000,3,2000-03-01,Défense,2,0.04,3.0
France 3,2000,3,2000-03-01,Autres,0,0.66,33.0
Arte,2000,3,2000-03-01,Politique intérieure,37,21.44,1435.0
Arte,2000,3,2000-03-01,International,27,17.32,995.0
Arte,2000,3,2000-03-01,Économie,19,14.67,734.0
Arte,2000,3,2000-03-01,Société,20,11.97,701.0
Arte,2000,3,2000-03-01,Faits divers,13,9.73,590.0
Arte,2000,3,2000-03-01,Sport,15,7.57,510.0
Arte,2000,3,2000-03-01,Culture,6,5.27,265.0
Arte,2000,3,2000-03-01,Environnement,8,3.74,211.0
Arte,2000,3,2000-03-01,Justice,7,2.85,136.0
Arte,2000,3,2000-03-01,Santé,2,1.92,86.0
Arte,2000,3,2000-03-01,Sciences & Techno,0,0.91,45.0
Arte,2000,3,2000-03-01,Météo,1,0.84,56.0
Arte,2000,3,2000-03-01,Défense,1,0.31,22.0
Arte,2000,3,2000-03-01,Autres,2,0.8,55.0
M6,2000,3,2000-03-01,Politique intérieure,34,21.95,1543.0
M6,2000,3,2000-03-01,International,27,17.89,669.0
M6,2000,3,2000-03-01,Économie,26,15.12,625.0
M6,2000,3,2000-03-01,Société,19,11.77,446.0
M6,2000,3,2000-03-01,Faits divers,20,9.51,403.0
M6,2000,3,2000-03-01,Sport,14,7.72,371.0
M6,2000,3,2000-03-01,Culture,13,4.63,282.0
M6,2000,3,2000-03-01,Environnement,4,3.96,155.0
M6,2000,3,2000-03-01,Justice,5,2.65,121.0
M6,2000,3,2000-03-01,Santé,2,2.79,177.0
M6,2000,3,2000-03-01,Sciences & Techno,3,0.97,44.0
M6,2000,3,2000-03-01,Météo,1,1.24,74.0
M6,2000,3,2000-03-01,Défense,0,0.59,34.0
M6,2000,3,2000-03-01,Autres,0,1.11,67.0
TF1,2000,4,2000-04-01,Politique intérieure,29,21.34,852.0
TF1,2000,4,2000-04-01,International,33,17.94,1269.0
TF1,2000,4,2000-04-01,Économie,23,15.05,826.0
TF1,2000,4,2000-04-01,Société,25,12.06,850.0
TF1,2000,4,2000-04-01,Faits divers,14,10.05,595.0
TF1,2000,4,2000-04-01,Sport,14,8.5,313.0
TF1,2000,4,2000-04-01,Culture,9,5.18,235.0
TF1,2000,4,2000-04-01,Environnement,5,3.72,243.0
TF1,2000,4,2000-04-01,Justice,4,3.6,236.0
TF1,2000,4,2000-04-01,Santé,4,1.62,62.0
TF1,2000,4,2000-04-01,Sciences & Techno,2,1.08,67.0
TF1,2000,4,2000-04-01,Météo,1,0.71,40.0
TF1,2000,4,2000-04-01,Défense,4,0.08,5.0
TF1,2000,4,2000-04-01,Autres,1,0.31,20.0
France 2,2000,4,2000-04-01,Politique intérieure,30,21.9,1130.0
France 2,2000,4,2000-04-01,International,25,17.91,1076.0
France 2,2000,4,2000-04-01,Économie,23,14.67,1027.0
France 2,2000,4,2000-04-01,Société,22,11.85,470.0
France 2,2000,4,2000-04-01,Faits divers,19,9.99,427.0
France 2,2000,4,2000-04-01,Sport,11,7.4,480.0
France 2,2000,4,2000-04-01,Culture,6,4.77,270.0
France 2,2000,4,2000-04-01,Environnement,7,3.66,246.0
France 2,2000,4,2000-04-01,Justice,5,2.48,112.0
France 2,2000,4,2000-04-01,Santé,2,1.88,118.0
France 2,2000,4,2000-04-01,Sciences & Techno,0,1.55,58.0
France 2,2000,4,2000-04-01,Météo,0,1.08,57.0
France 2,2000,4,2000-04-01,Défense,0,0.84,54.0
France 2,2000,4,2000-04-01,Autres,1,0.49,26.0
France 3,2000,4,2000-04-01,Politique intérieure,29,21.97,1387.0
France 3,2000,4,2000-04-01,International,30,17.93,791.0
France 3,2000,4,2000-04-01,Économie,23,14.44,866.0
France 3,2000,4,2000-04-01,Société,15,11.61,420.0
France 3,2000,4,2000-04-01,Faits divers,18,9.78,510.0
France 3,2000,4,2000-04-01,Sport,12,8.13,492.0
France 3,2000,4,2000-04-01,Culture,11,4.61,239.0
France 3,2000,4,2000-04-01,Environnement,8,3.87,141.0
France 3,2000,4,2000-04-01,Justice,8,3.61,228.0
France 3,2000,4,2000-04-01,Santé,5,2.06,142.0
France 3,2000,4,2000-04-01,Sciences & Techno,1,1.47,80.0
France 3,2000,4,2000-04-01,Météo,3,1.12,63.0
France 3,2000,4,2000-04-01,Défense,1,0.15,9.0
France 3,2000,4,2000-04-01,Autres,0,0.18,8.0
Arte,2000,4,2000-04-01,Politique intérieure,24,22.01,1231.0
Arte,2000,4,2000-04-01,International,29,17.87,1199.0
Arte,2000,4,2000-04-01,Économie,21,14.55,1003.0
Arte,2000,4,2000-04-01,Société,25,11.45,631.0
Arte,2000,4,2000-04-01,Faits divers,17,9.71,410.0
Arte,2000,4,2000-04-01,Sport,13,7.74,442.0
Arte,2000,4,2000-04-01,Culture,8,4.68,238.0
Arte,2000,4,2000-04-01,Environnement,12,4.02,185.0
Arte,2000,4,2000-04-01,Justice,8,2.83,128.0
Arte,2000,4,2000-04-01,Santé,3,2.06,107.0
Arte,2000,4,2000-04-01,Sciences & Techno,2,0.39,14.0
Arte,2000,4,2000-04-01,Météo,3,1.75,121.0
Arte,2000,4,2000-04-01,Défense,0,0.44,29.0
Arte,2000,4,2000-04-01,Autres,0,0.29,11.0
M6,2000,4,2000-04-01,Politique intérieure,30,21.01,994.0
M6,2000,4,2000-04-01,International,20,18.27,1016.0
M6,2000,4,2000-04-01,Économie,25,14.57,618.0
M6,2000,4,2000-04-01,Société,23,11.49,614.0
M6,2000,4,2000-04-01,Faits divers,15,10.16,444.0
M6,2000,4,2000-04-01,Sport,12,8.21,452.0
M6,2000,4,2000-04-01,Culture,8,5.11,301.0
M6,2000,4,2000-04-01,Environnement,8,3.87,190.0
M6,2000,4,2000-04-01,Justice,3,2.53,104.0
M6,2000,4,2000-04-01,Santé,2,2.25,125.0
M6,2000,4,2000-04-01,Sciences & Techno,4,1.42,85.0
M6,2000,4,2000-04-01,Météo,2,0.84,33.0
M6,2000,4,2000-04-01,Défense,1,0.54,20.0
M6,2000,4,2000-04-01,Autres,0,0.72,28.0
TF1,2000,5,2000-05-01,Politique intérieure,38,21.73,930.0
TF1,2000,5,2000-05-01,International,23,17.55,865.0
TF1,2000,5,2000-05-01,Économie,22,15.18,633.0
TF1,2000,5,2000-05-01,Société,19,12.23,791.0
TF1,2000,5,2000-05-01,Faits divers,13,9.6,462.0
TF1,2000,5,2000-05-01,Sport,12,7.87,311.0
TF1,2000,5,2000-05-01,Culture,5,4.96,179.0
TF1,2000,5,2000-05-01,Environnement,3,4.09,219.0
TF1,2000,5,2000-05-01,Justice,3,3.18,122.0
TF1,2000,5,2000-05-01,Santé,3,2.56,139.0
TF1,2000,5,2000-05-01,Sciences & Techno,0,1.91,108.0
TF1,2000,5,2000-05-01,Météo,1,0.62,38.0
TF1,2000,5,2000-05-01,Défense,1,0.9,64.0
TF1,2000,5,2000-05-01,Autres,1,0.32,18.0
France 2,2000,5,2000-05-01,Politique intérieure,53,21.14,920.0
France 2,2000,5,2000-05-01,International,40,17.67,741.0
France 2,2000,5,2000-05-01,Économie,26,14.75,1053.0
France 2,2000,5,2000-05-01,Société,16,11.62,504.0
France 2,2000,5,2000-05-01,Faits divers,17,9.53,413.0
France 2,2000,5,2000-05-01,Sport,12,7.69,393.0
France 2,2000,5,2000-05-01,Culture,6,5.0,317.0
France 2,2000,5,2000-05-01,Environnement,7,3.66,257.0
France 2,2000,5,2000-05-01,Justice,3,2.36,157.0
France 2,2000,5,2000-05-01,Santé,5,1.83,116.0
France 2,2000,5,2000-05-01,Sciences & Techno,2,0.98,46.0
France 2,2000,5,2000-05-01,Météo,2,0.89,58.0
France 2,2000,5,2000-05-01,Défense,0,0.64,29.0
France 2,2000,5,2000-05-01,Autres,1,0.11,4.0
France 3,2000,5,2000-05-01,Politique intérieure,28,22.0,994.0
France 3,2000,5,2000-05-01,International,29,17.44,1048.0
France 3,2000,5,2000-05-01,Économie,16,14.77,718.0
France 3,2000,5,2000-05-01,Société,24,11.96,661.0
France 3,2000,5,2000-05-01,Faits divers,12,9.87,562.0
France 3,2000,5,2000-05-01,Sport,7,7.22,357.0
France 3,2000,5,2000-05-01,Culture,4,4.81,329.0
France 3,2000,5,2000-05-01,Environnement,9,4.17,234.0
France 3,2000,5,2000-05-01,Justice,4,2.85,147.0
France 3,2000,5,2000-05-01,Santé,6,2.31,90.0
France 3,2000,5,2000-05-01,Sciences & Techno,1,0.53,28.0
France 3,2000,5,2000-05-01,Météo,2,1.22,72.0
France 3,2000,5,2000-05-01,Défense,1,0.71,46.0
France 3,2000,5,2000-05-01,Autres,0,0.51,23.0
Arte,2000,5,2000-05-01,Politique intérieure,31,21.73,831.0
Arte,2000,5,2000-05-01,International,24,17.94,884.0
Arte,2000,5,2000-05-01,Économie,25,15.5,877.0
Arte,2000,5,2000-05-01,Société,25,11.96,438.0
Arte,2000,5,2000-05-01,Faits divers,20,9.16,439.0
Arte,2000,5,2000-05-01,Sport,15,8.02,577.0
Arte,2000,5,2000-05-01,Culture,9,5.45,383.0
Arte,2000,5,2000-05-01,Environnement,5,3.56,172.0
Arte,2000,5,2000-05-01,Justice,3,2.92,204.0
Arte,2000,5,2000-05-01,Santé,3,1.98,132.0
Arte,2000,5,2000-05-01,Sciences & Techno,1,1.05,51.0
Arte,2000,5,2000-05-01,Météo,1,1.21,76.0
Arte,2000,5,2000-05-01,Défense,0,0.93,63.0
Arte,2000,5,2000-05-01,Autres,0,0.34,18.0
M6,2000,5,2000-05-01,Politique intérieure,33,21.72,1165.0
M6,2000,5,2000-05-01,International,34,17.78,1242.0
M6,2000,5,2000-05-01,Économie,20,14.99,943.0
M6,2000,5,2000-05-01,Société,11,11.1,426.0
M6,2000,5,2000-05-01,Faits divers,14,9.91,497.0
M6,2000,5,2000-05-01,Sport,13,8.07,296.0
M6,2000,5,2000-05-01,Culture,9,4.62,280.0
M6,2000,5,2000-05-01,Environnement,10,4.12,221.0
M6,2000,5,2000-05-01,Justice,3,2.8,189.0
M6,2000,5,2000-05-01,Santé,5,2.49,107.0
M6,2000,5,2000-05-01,Sciences & Techno,4,1.36,92.0
M6,2000,5,2000-05-01,Météo,0,0.87,43.0
M6,2000,5,2000-05-01,Défense,0,1.44,87.0
M6,2000,5,2000-05-01,Autres,2,0.3,19.0
TF1,2000,6,2000-06-01,Politique intérieure,35,21.69,1296.0
TF1,2000,6,2000-06-01,International,30,17.57,1163.0
TF1,2000,6,2000-06-01,Économie,28,14.33,827.0
TF1,2000,6,2000-06-01,Société,19,11.73,763.0
TF1,2000,6,2000-06-01,Faits divers,13,10.14,652.0
TF1,2000,6,2000-06-01,Sport,11,7.89,333.0
TF1,2000,6,2000-06-01,Culture,10,4.77,287.0
TF1,2000,6,2000-06-01,Environnement,5,4.12,247.0
TF1,2000,6,2000-06-01,Justice,3,3.0,206.0
TF1,2000,6,2000-06-01,Santé,1,1.37,81.0
TF1,2000,6,2000-06-01,Sciences & Techno,3,1.38,71.0
TF1,2000,6,2000-06-01,Météo,0,0.85,32.0
TF1,2000,6,2000-06-01,Défense,0,0.8,45.0
TF1,2000,6,2000-06-01,Autres,1,0.96,66.0
France 2,2000,6,2000-06-01,Politique intérieure,28,21.51,1396.0
France 2,2000,6,2000-06-01,International,21,17.66,783.0
France 2,2000,6,2000-06-01,Économie,21,14.29,755.0
France 2,2000,6,2000-06-01,Société,19,11.86,546.0
France 2,2000,6,2000-06-01,Faits divers,13,9.55,519.0
France 2,2000,6,2000-06-01,Sport,16,7.86,410.0
France 2,2000,6,2000-06-01,Culture,9,4.91,309.0
France 2,2000,6,2000-06-01,Environnement,3,3.65,221.0
France 2,2000,6,2000-06-01,Justice,2,2.89,200.0
France 2,2000,6,2000-06-01,Santé,4,2.42,109.0
France 2,2000,6,2000-06-01,Sciences & Techno,0,0.98,69.0
France 2,2000,6,2000-06-01,Météo,1,0.41,23.0
France 2,2000,6,2000-06-01,Défense,1,0.93,64.0
France 2,2000,6,2000-06-01,Autres,2,0.26,16.0
France 3,2000,6,2000-06-01,Politique intérieure,33,21.63,868.0
France 3,2000,6,2000-06-01,International,24,16.97,858.0
France 3,2000,6,2000-06-01,Économie,24,14.88,875.0
France 3,2000,6,2000-06-01,Société,21,11.85,747.0
France 3,2000,6,2000-06-01,Faits divers,13,10.09,592.0
France 3,2000,6,2000-06-01,Sport,17,7.48,460.0
France 3,2000,6,2000-06-01,Culture,7,5.03,250.0
France 3,2000,6,2000-06-01,Environnement,10,3.65,203.0
France 3,2000,6,2000-06-01,Justice,3,3.59,237.0
France 3,2000,6,2000-06-01,Santé,4,1.18,66.0
France 3,2000,6,2000-06-01,Sciences & Techno,1,1.01,49.0
France 3,2000,6,2000-06-01,Météo,4,0.61,32.0
France 3,2000,6,2000-06-01,Défense,1,0.42,16.0
France 3,2000,6,2000-06-01,Autres,0,0.29,11.0
Arte,2000,6,2000-06-01,Politique intérieure,41,21.16,1491.0
Arte,2000,6,2000-06-01,International,32,17.59,649.0
Arte,2000,6,2000-06-01,Économie,23,14.17,745.0
Arte,2000,6,2000-06-01,Société,16,11.5,679.0
Arte,2000,6,2000-06-01,Faits divers,20,9.38,673.0
Arte,2000,6,2000-06-01,Sport,8,7.68,421.0
Arte,2000,6,2000-06-01,Culture,6,5.44,323.0
Arte,2000,6,2000-06-01,Environnement,7,4.26,154.0
Arte,2000,6,2000-06-01,Justice,4,2.98,121.0
Arte,2000,6,2000-06-01,Santé,3,2.02,142.0
Arte,2000,6,2000-06-01,Sciences & Techno,1,0.99,63.0
Arte,2000,6,2000-06-01,Météo,1,0.78,41.0
Arte,2000,6,2000-06-01,Défense,0,0.21,9.0
Arte,2000,6,2000-06-01,Autres,0,0.26,18.0
M6,2000,6,2000-06-01,Politique intérieure,40,21.4,1391.0
M6,2000,6,2000-06-01,International,23,17.7,1005.0
M6,2000,6,2000-06-01,Économie,24,14.87,890.0
M6,2000,6,2000-06-01,Société,22,11.88,820.0
M6,2000,6,2000-06-01,Faits divers,17,8.84,438.0
M6,2000,6,2000-06-01,Sport,8,7.79,425.0
M6,2000,6,2000-06-01,Culture,10,4.99,268.0
M6,2000,6,2000-06-01,Environnement,3,3.74,245.0
M6,2000,6,2000-06-01,Justice,1,3.49,155.0
M6,2000,6,2000-06-01,Santé,4,2.09,143.0
M6,2000,6,2000-06-01,Sciences & Techno,3,0.38,15.0
M6,2000,6,2000-06-01,Météo,2,0.57,32.0
M6,2000,6,2000-06-01,Défense,0,0.0,0.0
M6,2000,6,2000-06-01,Autres,0,0.69,30.0
TF1,2000,7,2000-07-01,Politique intérieure,31,21.77,789.0
TF1,2000,7,2000-07-01,International,28,17.67,652.0
TF1,2000,7,2000-07-01,Économie,19,14.75,758.0
TF1,2000,7,2000-07-01,Société,19,11.74,658.0
TF1,2000,7,2000-07-01,Faits divers,12,10.41,731.0
TF1,2000,7,2000-07-01,Sport,10,7.5,333.0
TF1,2000,7,2000-07-01,Culture,7,5.14,340.0
TF1,2000,7,2000-07-01,Environnement,12,3.65,191.0
TF1,2000,7,2000-07-01,Justice,6,3.33,208.0
TF1,2000,7,2000-07-01,Santé,1,2.18,124.0
TF1,2000,7,2000-07-01,Sciences & Techno,4,0.56,22.0
TF1,2000,7,2000-07-01,Météo,2,0.88,50.0
TF1,2000,7,2000-07-01,Défense,2,0.46,23.0
TF1,2000,7,2000-07-01,Autres,0,0.54,26.0
France 2,2000,7,2000-07-01,Politique intérieure,34,21.34,1206.0
France 2,2000,7,2000-07-01,International,24,17.12,981.0
France 2,2000,7,2000-07-01,Économie,14,14.9,839.0
France 2,2000,7,2000-07-01,Société,27,11.68,583.0
France 2,2000,7,2000-07-01,Faits divers,13,10.31,695.0
France 2,2000,7,2000-07-01,Sport,13,7.78,349.0
France 2,2000,7,2000-07-01,Culture,6,4.95,192.0
France 2,2000,7,2000-07-01,Environnement,9,4.03,240.0
France 2,2000,7,2000-07-01,Justice,7,2.94,172.0
France 2,2000,7,2000-07-01,Santé,2,1.66,72.0
France 2,2000,7,2000-07-01,Sciences & Techno,0,0.89,62.0
France 2,2000,7,2000-07-01,Météo,1,1.07,40.0
France 2,2000,7,2000-07-01,Défense,1,0.38,15.0
France 2,2000,7,2000-07-01,Autres,3,0.0,0.0
France 3,2000,7,2000-07-01,Politique intérieure,31,21.52,1510.0
France 3,2000,7,2000-07-01,International,21,17.7,1098.0
France 3,2000,7,2000-07-01,Économie,21,14.29,780.0
France 3,2000,7,2000-07-01,Société,7,12.12,691.0
France 3,2000,7,2000-07-01,Faits divers,18,9.86,592.0
France 3,2000,7,2000-07-01,Sport,10,7.88,439.0
France 3,2000,7,2000-07-01,Culture,5,5.04,269.0
France 3,2000,7,2000-07-01,Environnement,8,4.15,260.0
